Identyfikator problemu,Opis,Stan,Ważność,Punkty scenariusza,Ścieżka projektu,Rodzaj lokalizacji,ŚCIEŻKA,Wiersz,Kolumna,Identyfikator zdarzenia,Link pomocy,Nazwa zestawu,Wersja zestawu,Klucz publiczny zestawu,Fragment kodu
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,86,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,"idleCheckTimer = new Timer(CheckIdleState, null, TimeSpan.FromSeconds(2), TimeSpan.FromSeconds(2));"
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,63,12,T:Microsoft.Win32.PowerModeChangedEventHandler,,,,,SystemEvents.PowerModeChanged += OnPowerModeChanged;
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,63,12,T:Microsoft.Win32.PowerModeChangedEventHandler,,,,,SystemEvents.PowerModeChanged += OnPowerModeChanged;
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,63,12,E:Microsoft.Win32.SystemEvents.PowerModeChanged,,,,,SystemEvents.PowerModeChanged += OnPowerModeChanged;
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,62,12,T:Microsoft.Win32.SessionSwitchEventHandler,,,,,SystemEvents.SessionSwitch += OnSessionSwitch;
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,62,12,T:Microsoft.Win32.SessionSwitchEventHandler,,,,,SystemEvents.SessionSwitch += OnSessionSwitch;
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,62,12,E:Microsoft.Win32.SystemEvents.SessionSwitch,,,,,SystemEvents.SessionSwitch += OnSessionSwitch;
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,86,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,"idleCheckTimer = new Timer(CheckIdleState, null, TimeSpan.FromSeconds(2), TimeSpan.FromSeconds(2));"
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,86,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,"idleCheckTimer = new Timer(CheckIdleState, null, TimeSpan.FromSeconds(2), TimeSpan.FromSeconds(2));"
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,63,12,T:Microsoft.Win32.PowerModeChangedEventHandler,,,,,SystemEvents.PowerModeChanged += OnPowerModeChanged;
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,63,12,T:Microsoft.Win32.PowerModeChangedEventHandler,,,,,SystemEvents.PowerModeChanged += OnPowerModeChanged;
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,63,12,E:Microsoft.Win32.SystemEvents.PowerModeChanged,,,,,SystemEvents.PowerModeChanged += OnPowerModeChanged;
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,62,12,T:Microsoft.Win32.SessionSwitchEventHandler,,,,,SystemEvents.SessionSwitch += OnSessionSwitch;
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,62,12,T:Microsoft.Win32.SessionSwitchEventHandler,,,,,SystemEvents.SessionSwitch += OnSessionSwitch;
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,62,12,E:Microsoft.Win32.SystemEvents.SessionSwitch,,,,,SystemEvents.SessionSwitch += OnSessionSwitch;
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\IdleDetector.cs,29,12,M:System.TimeSpan.FromMilliseconds(System.Double),,,,,return TimeSpan.FromMilliseconds(idleTicks);
NuGet.0001,Pakiet NuGet jest niezgodny,Active,Mandatory,1,AmbilightEngine\AmbilightEngine.csproj,File,AmbilightEngine\AmbilightEngine.csproj,,,H.NotifyIcon.WinUI 2.0.115,,,,,"H.NotifyIcon.WinUI, 2.0.115  Rekomendacja:  Nie znaleziono obsługiwanej wersji"
